Student_ID,Age,Gender,Year_of_Study,Sleep_Hours,Study_Hours_Per_Week,GPA,Social_Media_Hours,Screen_Time_Hours,Physical_Activity,Financial_Stress,Family_Support,Attendance_Rate,Part_Time_Job,Diet_Quality,Previous_Mental_Health_History,Mental_Health_Risk
STU0080,17,Female,3,8.1,22.1,2.23,5.8,9.4,Moderate,5.3,8.1,82.9,No,Average,No,Low
STU0081,21,Female,3,7.0,17.3,2.26,6.0,9.7,Low,6.1,7.1,83.0,No,Average,No,Medium
STU0082,22,Male,3,7.7,17.0,2.19,6.4,9.2,High,4.9,7.1,90.6,No,Average,No,Low
STU0083,24,Female,1,6.7,17.8,2.56,6.0,6.4,Moderate,6.6,7.6,76.5,No,Good,No,Low
STU0084,20,Female,2,5.9,16.2,2.38,7.5,9.1,Moderate,5.2,5.4,75.5,No,Average,No,High
STU0085,19,Male,4,7.6,20.6,2.65,5.6,6.7,High,7.8,5.5,91.3,No,Average,No,Low
STU0086,20,Male,4,7.5,21.4,2.33,6.1,6.2,Low,6.4,8.7,100.0,No,Poor,No,Medium
STU0087,23,Female,1,7.9,17.8,2.5,7.5,10.0,Moderate,3.6,9.8,91.1,Yes,Good,No,Low
STU0088,22,Female,5,6.8,24.5,2.48,5.5,7.0,Moderate,6.7,5.1,97.9,Yes,Good,Yes,Medium
STU0089,20,Non-binary,2,6.1,17.5,2.57,6.5,12.2,Low,4.7,3.5,82.4,No,Average,No,High
STU0090,22,Female,3,5.1,21.1,2.19,5.8,8.1,Low,6.1,7.7,78.7,Yes,Good,No,Medium
STU0091,21,Non-binary,4,7.7,16.3,2.93,7.6,11.7,High,5.6,5.4,90.8,No,Good,No,Low
STU0092,23,Female,4,7.3,18.1,2.05,5.9,6.5,Moderate,5.9,8.4,89.0,No,Average,No,Low
STU0093,19,Male,5,5.7,28.3,2.51,6.5,8.4,High,4.8,8.7,75.9,No,Average,No,Low
STU0094,20,Male,2,6.2,15.1,2.89,6.4,9.0,Moderate,6.0,5.3,85.8,No,Poor,No,High
STU0095,20,Female,4,6.3,28.2,2.66,4.3,5.7,Low,8.2,7.3,85.8,No,Good,Yes,High
STU0096,18,Female,1,5.2,18.9,2.04,6.8,8.8,Low,7.4,6.4,77.5,Yes,Poor,No,High
STU0097,22,Male,3,5.9,23.9,2.7,5.3,7.5,Moderate,6.9,6.7,82.3,No,Average,No,Medium
STU0098,22,Male,4,5.6,31.3,2.69,5.5,7.7,High,4.2,2.6,92.0,Yes,Average,No,High
STU0099,21,Non-binary,3,6.3,20.7,2.31,3.2,7.9,Low,3.5,7.8,87.1,No,Poor,No,Low
STU0100,20,Female,2,6.0,20.6,2.21,5.9,8.9,High,4.0,8.5,88.8,Yes,Poor,No,Medium
STU0101,18,Male,4,5.0,21.7,3.33,5.4,8.5,High,4.3,4.8,85.1,No,Average,No,Low
STU0102,20,Female,1,9.0,24.8,2.8,4.5,7.6,High,7.7,8.5,80.7,Yes,Poor,No,Low
STU0103,20,Male,1,8.2,22.9,2.18,5.2,8.4,Moderate,7.0,7.2,86.0,No,Average,No,Low
STU0104,19,Male,3,5.9,21.0,2.99,5.3,7.7,High,8.5,7.2,81.3,No,Average,Yes,High
STU0105,21,Male,2,6.7,19.5,2.77,6.0,8.1,Moderate,2.5,9.5,84.4,Yes,Average,Yes,Low
STU0106,22,Male,4,7.3,29.4,2.66,3.7,6.4,Low,6.6,6.7,78.7,No,Average,No,Low
STU0107,25,Female,2,8.1,17.4,2.31,6.6,10.5,Low,7.5,6.7,79.6,Yes,Average,No,Medium
STU0108,21,Male,1,5.9,12.4,2.49,8.1,12.0,High,7.7,7.1,85.6,No,Poor,No,High
STU0109,22,Female,4,8.0,27.5,2.81,5.5,7.7,Low,8.5,9.6,83.7,No,Average,No,Low
STU0110,21,Female,3,6.7,21.3,2.0,6.7,10.1,Moderate,5.3,9.3,75.8,No,Average,No,Medium
STU0111,17,Male,1,5.3,15.7,2.88,6.0,9.8,Low,1.4,8.9,95.2,Yes,Average,No,Low
STU0112,21,Female,4,7.6,20.7,2.52,7.2,9.7,Low,4.0,4.3,84.3,Yes,Average,Yes,High
STU0113,21,Female,3,8.2,14.1,2.95,8.5,10.4,Low,6.1,6.6,84.0,No,Average,No,Low
STU0114,26,Female,3,9.6,21.9,3.21,5.3,7.6,High,4.3,8.6,81.7,No,Poor,No,Low
STU0115,21,Male,2,5.5,21.6,2.23,5.1,9.2,Moderate,2.6,5.5,70.3,No,Poor,No,Medium
STU0116,22,Female,4,7.6,23.1,3.03,6.5,9.1,High,8.6,7.4,86.6,No,Average,Yes,Low
STU0117,21,Female,4,6.3,29.7,2.64,5.7,8.4,Moderate,7.3,5.7,76.2,No,Poor,No,High
STU0118,18,Male,3,7.7,18.2,2.02,7.0,7.8,High,6.1,6.8,85.1,No,Average,No,Low
STU0119,24,Male,1,5.2,10.8,2.56,8.8,10.9,Moderate,5.1,8.2,82.6,Yes,Good,Yes,High
STU0120,23,Female,4,5.4,23.7,2.71,5.6,7.8,Moderate,6.4,3.7,97.2,Yes,Poor,No,High
STU0121,23,Female,3,5.9,20.7,2.4,6.4,7.9,Moderate,6.6,9.9,86.0,Yes,Average,No,Medium
STU0122,19,Male,3,6.9,24.1,2.61,4.6,7.1,Moderate,8.0,9.6,80.6,Yes,Good,Yes,Medium
STU0123,24,Female,2,6.1,14.9,2.72,8.6,10.6,High,5.6,4.8,85.1,No,Poor,No,High
STU0124,18,Male,4,7.5,29.5,2.94,4.7,7.3,Moderate,5.0,7.8,93.3,No,Average,No,Low
STU0125,22,Female,4,7.9,31.9,2.76,4.5,7.1,High,8.7,8.0,77.5,No,Poor,Yes,Medium
STU0126,26,Male,1,7.5,14.8,2.68,6.2,7.6,Moderate,7.0,6.1,83.2,Yes,Average,No,Medium
STU0127,19,Female,2,8.6,23.0,2.85,5.1,7.1,Low,6.6,5.9,98.8,No,Average,Yes,Medium
STU0128,20,Male,4,7.3,19.8,1.85,5.3,7.9,Moderate,6.7,6.5,85.4,No,Average,No,Medium
STU0129,21,Male,1,5.5,19.3,2.59,5.5,9.4,Low,6.7,5.5,88.3,No,Average,Yes,High
STU0130,20,Male,5,8.3,31.2,3.13,3.5,6.3,Moderate,5.5,7.3,95.4,No,Average,No,Low
STU0131,18,Male,3,6.1,24.5,2.67,4.8,6.5,Moderate,5.7,4.7,92.4,Yes,Average,Yes,High
STU0132,21,Female,3,7.8,20.9,2.94,7.9,10.9,High,5.7,7.4,98.7,No,Good,No,Low
STU0133,19,Male,2,8.5,6.2,2.08,8.1,12.6,Low,3.1,6.7,78.3,No,Poor,Yes,Low
STU0134,22,Female,1,7.3,12.4,2.48,7.7,11.3,Low,8.4,8.8,82.2,No,Poor,No,High
STU0135,19,Male,5,5.2,24.5,2.13,6.7,9.9,Low,2.8,5.7,76.3,Yes,Good,No,High
STU0136,24,Male,2,5.8,14.1,2.45,8.4,11.8,Moderate,8.0,3.5,84.5,No,Good,Yes,High
STU0137,19,Male,4,8.3,24.5,3.4,3.8,8.0,High,6.1,4.9,89.5,No,Good,No,Low
STU0138,20,Male,2,6.6,16.3,2.15,5.1,8.9,High,7.4,6.6,70.6,No,Poor,No,High
STU0139,23,Male,1,6.9,11.7,2.11,6.0,9.2,Moderate,2.5,4.3,78.1,Yes,Good,No,Medium
STU0140,18,Male,1,7.6,10.8,2.14,6.5,10.3,High,7.8,6.7,85.1,No,Average,No,Low
STU0141,22,Female,3,7.6,18.1,2.56,5.9,7.1,Low,5.3,8.9,87.4,Yes,Average,Yes,Medium
STU0142,24,Male,5,7.1,31.5,2.62,4.4,5.1,Low,6.5,6.6,90.7,No,Good,No,Low
STU0143,17,Female,2,6.6,15.4,2.55,6.7,9.4,Low,3.9,2.5,84.5,No,Poor,Yes,High
STU0144,21,Female,2,6.5,15.9,2.69,6.4,9.0,High,6.1,8.1,72.9,No,Average,No,Low
STU0145,22,Male,2,7.7,16.2,2.69,5.7,7.5,Moderate,6.5,5.2,85.2,Yes,Good,No,Low
STU0146,23,Female,3,7.4,22.4,2.16,3.6,7.1,Moderate,7.8,4.0,90.3,Yes,Average,No,Medium
STU0147,18,Non-binary,2,6.5,19.8,2.85,5.0,5.3,Low,4.5,4.4,78.8,No,Poor,No,Medium
STU0148,18,Female,4,8.0,11.8,2.7,6.3,8.2,Moderate,4.6,3.4,91.4,No,Poor,No,Low
STU0149,22,Female,3,6.7,25.1,2.97,5.2,7.1,High,6.1,4.0,75.9,No,Average,No,High
STU0150,22,Male,3,5.9,26.7,2.83,4.2,4.7,Low,4.9,6.4,87.1,No,Poor,Yes,Medium
STU0151,22,Female,1,6.0,10.8,2.31,6.4,10.7,Moderate,6.1,6.8,87.7,No,Poor,Yes,High
STU0152,22,Female,5,5.7,23.1,2.9,4.6,5.5,Low,6.1,9.2,85.2,No,Average,Yes,Medium
STU0153,20,Female,1,6.5,13.2,2.93,6.6,8.4,Low,8.5,5.1,100.0,No,Poor,Yes,High
STU0154,22,Non-binary,1,8.2,12.0,2.15,5.7,9.3,Moderate,8.8,6.9,79.4,Yes,Average,Yes,High
STU0155,22,Male,3,5.9,21.9,2.89,5.0,8.3,Low,9.0,5.2,83.3,Yes,Poor,No,High
STU0156,19,Male,3,7.0,13.2,2.36,5.4,6.6,Moderate,7.2,4.6,85.6,Yes,Good,No,Medium
STU0157,25,Female,2,6.1,13.5,2.29,6.5,9.8,Moderate,6.0,4.9,78.5,Yes,Poor,No,High
STU0158,22,Female,2,6.5,24.2,2.22,4.7,7.5,Moderate,7.8,4.6,73.2,Yes,Good,No,High
STU0159,18,Male,4,5.1,20.3,2.38,6.9,12.2,Moderate,7.4,5.9,76.6,No,Good,Yes,High
STU0160,22,Male,1,6.6,20.0,2.26,6.4,9.4,Moderate,5.4,3.9,88.9,Yes,Average,No,High
STU0161,19,Male,4,6.6,25.4,2.58,5.4,7.7,Low,8.4,7.6,83.3,Yes,Poor,No,High
STU0162,23,Male,3,7.4,13.8,2.1,5.8,7.3,Moderate,6.7,4.6,94.5,Yes,Good,No,Medium
STU0163,24,Female,2,7.0,20.5,2.47,6.3,7.9,Moderate,3.0,4.8,81.7,Yes,Average,Yes,Medium
STU0164,19,Female,2,5.5,17.5,2.29,6.9,8.4,Low,4.8,7.4,88.7,No,Poor,No,Medium
STU0165,23,Male,2,8.0,16.2,2.58,6.5,10.6,High,6.7,8.1,89.1,Yes,Average,Yes,Low
STU0166,22,Male,4,7.0,25.0,2.26,6.0,9.6,Moderate,8.0,9.2,80.4,No,Poor,Yes,Medium
STU0167,23,Male,3,7.0,22.9,2.24,6.2,9.4,High,6.1,4.8,77.3,Yes,Average,No,Medium
STU0168,25,Male,2,6.8,20.8,2.71,6.8,11.1,High,8.7,8.8,74.1,No,Average,No,Low
STU0169,20,Female,3,6.2,25.7,2.47,5.6,5.3,Moderate,4.6,7.5,88.7,Yes,Average,Yes,Medium
STU0170,19,Non-binary,5,7.0,28.6,3.17,5.8,9.8,Moderate,6.3,8.0,97.4,No,Average,No,Low
STU0171,19,Female,2,7.3,12.5,2.45,6.0,8.6,Moderate,7.9,9.5,73.6,Yes,Good,No,Low
STU0172,19,Male,5,4.9,25.1,2.78,5.0,8.0,Moderate,6.7,9.0,84.1,No,Average,No,Medium
STU0173,21,Female,2,6.2,29.8,3.25,5.4,6.9,High,5.1,3.7,84.8,Yes,Average,No,Low
STU0174,22,Female,1,6.5,17.9,2.4,6.6,8.2,Moderate,3.7,4.4,88.3,No,Average,Yes,Medium
STU0175,22,Female,1,7.1,24.5,2.56,6.1,9.2,Low,3.2,7.4,83.1,Yes,Average,No,Medium
STU0176,23,Female,2,8.1,23.6,3.04,6.7,12.1,Moderate,5.7,6.6,97.5,Yes,Average,No,Low
STU0177,21,Male,1,6.0,16.0,2.55,5.0,8.7,High,6.1,6.0,82.6,No,Good,Yes,High
STU0178,24,Male,1,6.3,16.2,2.56,5.4,9.4,Moderate,5.9,6.8,75.6,No,Good,No,Medium
STU0179,20,Male,5,6.2,26.9,3.16,5.5,7.8,Moderate,9.5,6.0,85.7,No,Average,Yes,Medium
STU0180,27,Male,4,5.9,17.0,2.36,5.6,7.4,Moderate,3.0,9.4,81.6,No,Poor,Yes,Medium
STU0181,22,Male,4,6.4,24.1,2.68,9.0,10.6,Moderate,6.2,6.0,89.8,No,Average,No,High
STU0182,19,Female,1,7.6,19.8,2.63,6.5,8.4,Moderate,4.0,6.5,83.2,No,Average,Yes,Low
STU0183,19,Female,1,5.6,12.6,1.99,6.7,6.7,Moderate,3.2,7.4,85.0,No,Average,No,Low
STU0184,22,Female,1,7.3,16.6,2.53,5.8,7.4,Moderate,9.5,8.0,79.6,No,Poor,No,Medium
STU0185,21,Male,4,4.9,27.4,3.08,4.8,6.6,Moderate,8.6,6.1,86.4,Yes,Average,Yes,High
STU0186,23,Non-binary,5,6.2,23.4,2.77,5.7,8.0,Moderate,6.1,4.6,81.1,No,Average,No,Low
STU0187,22,Female,2,6.4,16.2,2.44,6.5,9.2,Moderate,6.1,6.4,78.7,No,Poor,No,Medium
STU0188,21,Female,1,8.6,10.9,2.38,6.5,9.4,Low,4.2,7.1,93.2,No,Good,No,Low
STU0189,19,Non-binary,3,6.5,17.7,2.59,6.0,8.5,Low,4.0,7.8,80.5,No,Good,No,Low
STU0190,18,Female,2,4.4,12.8,2.42,8.1,9.9,Low,2.3,4.6,82.1,No,Average,No,High
STU0191,20,Non-binary,2,4.6,14.4,2.44,7.9,8.0,Moderate,7.4,7.3,85.1,No,Average,No,High
STU0192,23,Male,3,6.8,26.7,2.68,5.6,7.4,Low,8.2,2.8,91.3,Yes,Average,Yes,High
STU0193,21,Male,3,7.5,17.3,2.64,4.9,6.2,Moderate,4.9,8.3,97.3,Yes,Average,No,Low
STU0194,18,Male,1,7.2,15.5,2.61,7.0,10.1,Low,3.0,8.8,89.0,Yes,Average,No,Low
STU0195,21,Male,1,7.0,13.0,2.08,8.3,11.9,Moderate,7.7,6.5,78.3,No,Average,Yes,High
STU0196,22,Male,5,6.7,31.7,3.07,6.2,9.8,Moderate,7.4,5.1,100.0,Yes,Poor,No,Medium
STU0197,19,Female,1,6.2,20.2,1.89,6.7,10.1,Moderate,7.2,6.5,85.4,No,Average,No,High
STU0198,21,Female,1,7.8,18.5,2.75,7.6,9.9,Moderate,4.6,7.3,85.4,Yes,Good,No,Low
STU0199,21,Female,1,5.0,16.2,2.53,6.4,8.3,Low,5.7,9.1,85.6,Yes,Poor,Yes,High
STU0200,18,Male,1,5.8,14.1,2.55,7.2,8.8,High,9.1,4.3,86.6,Yes,Average,No,High
STU0201,22,Female,2,4.8,13.2,2.11,6.0,6.7,Low,4.9,7.0,81.0,Yes,Average,No,High
STU0202,22,Female,4,6.5,31.8,3.0,5.1,8.8,Moderate,8.9,6.7,78.4,No,Average,No,Medium
STU0203,23,Male,2,6.7,15.0,2.85,7.8,10.1,High,6.3,5.2,98.5,No,Poor,No,Medium
STU0204,23,Female,2,6.9,20.7,3.03,5.3,6.3,Moderate,6.8,4.8,85.1,No,Good,No,Low
STU0205,18,Male,3,6.9,25.2,2.73,4.6,6.1,High,7.1,4.5,87.7,No,Poor,Yes,Medium
STU0206,19,Male,3,5.8,18.8,2.51,6.2,7.7,Low,6.1,9.0,99.6,No,Good,No,Medium
STU0207,22,Female,4,6.6,28.2,3.14,5.0,7.6,Moderate,6.5,7.8,84.1,No,Poor,Yes,High
STU0208,22,Male,4,5.2,27.1,2.23,5.9,9.7,Moderate,3.8,7.7,88.0,No,Poor,No,Medium
STU0209,22,Female,1,8.3,21.9,2.64,5.4,7.5,Low,2.1,6.7,80.3,No,Good,Yes,Low
STU0210,29,Female,4,6.5,22.1,3.02,7.5,7.3,Moderate,7.8,6.9,90.4,Yes,Average,No,Low
STU0211,22,Female,2,6.3,12.9,2.62,5.4,7.7,Moderate,4.5,4.1,87.1,No,Good,No,Medium
STU0212,23,Male,5,8.5,25.0,2.96,6.8,9.1,Moderate,7.6,8.7,93.3,Yes,Poor,Yes,Medium
STU0213,23,Male,2,5.4,18.8,1.99,5.4,7.6,High,3.6,7.2,90.4,No,Average,No,Low
STU0214,22,Male,5,5.6,27.2,2.69,3.5,5.2,Low,4.1,8.0,82.1,Yes,Poor,No,Low
STU0215,20,Female,4,5.6,22.4,2.39,6.0,8.8,Low,6.1,8.8,94.3,No,Poor,No,Medium
STU0216,23,Male,1,6.7,7.4,2.29,7.0,9.6,Moderate,8.0,6.7,94.2,No,Poor,Yes,High
STU0217,19,Male,3,7.3,22.9,2.46,4.6,7.1,Moderate,5.2,6.6,83.0,Yes,Poor,No,Medium
STU0218,20,Non-binary,5,7.6,34.9,2.77,2.8,5.8,Moderate,8.1,5.2,86.6,No,Good,No,Low
STU0219,20,Female,4,9.6,25.9,2.33,5.4,7.4,Moderate,3.8,6.8,80.5,No,Poor,No,Low
STU0220,21,Male,1,4.3,17.4,2.69,7.2,9.1,Low,6.1,6.2,84.0,Yes,Average,No,High
STU0221,26,Female,3,7.5,23.3,2.6,6.3,10.5,Moderate,7.0,5.0,77.2,No,Average,Yes,Medium
STU0222,17,Female,2,6.7,19.6,2.57,6.1,9.3,High,5.6,4.9,90.9,No,Poor,No,Medium
STU0223,23,Male,1,6.2,18.7,2.49,6.6,10.1,Moderate,5.4,5.1,70.6,Yes,Good,No,Medium
STU0224,17,Male,2,6.1,19.6,2.19,6.0,10.0,Moderate,6.4,7.7,78.3,Yes,Average,No,High
STU0225,20,Female,1,5.8,13.7,1.94,5.2,8.3,Low,6.1,4.2,81.3,No,Good,No,High
STU0226,23,Female,4,8.7,20.8,2.43,6.0,8.1,Low,4.3,8.7,93.7,No,Good,Yes,Low
STU0227,21,Female,2,7.7,17.0,2.33,6.1,6.7,Low,8.0,4.2,80.2,Yes,Good,No,High
STU0228,19,Male,4,6.8,25.3,2.84,5.3,8.0,Moderate,7.3,3.1,90.0,No,Good,Yes,Medium
STU0229,19,Male,1,8.3,13.7,2.25,7.5,9.8,High,6.8,6.0,82.9,No,Poor,No,Low
STU0230,22,Male,2,5.1,19.3,2.96,6.8,11.3,Moderate,9.1,7.7,94.4,No,Poor,No,High
